                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.37315,                0.67458,                 1.3973,                0.95621,                 0.7522,                0.80658,                0.90445,                0.71395,                 0.7487,                0.80102,                0.87953,                0.75842,                0.72841,                0.86583,                 1.0406,                  1.222,             0.00041035,             0.00041035,             0.00041035
                      1,                0.42283,                0.35273,                0.72813,                0.96013,                0.32612,                 0.5454,                0.32707,                0.09029,                0.34919,                0.58904,                0.42819,                0.15955,                 2.5965,                 2.5553,                 7.5271,                  7.123,             0.00081883,             0.00081883,             0.00081883
                      2,                0.49067,                0.38588,                 0.7941,                0.98252,                0.61483,                0.66073,                0.65051,                 0.4309,                0.57777,                0.74998,                0.73441,                0.62257,                 1.1494,                0.25924,                 3.5003,                 1.7853,              0.0012191,              0.0012191,              0.0012191
                      3,                0.49524,                0.35545,                0.73052,                0.98113,                0.78849,                0.94857,                0.91848,                0.73547,                0.78849,                0.94857,                0.91848,                 0.8666,                0.62307,                 0.1589,                0.87903,                 1.1451,              0.0012129,              0.0012129,              0.0012129
                      4,                0.45486,                0.37106,                0.74114,                0.96394,                0.89509,                0.98784,                0.95169,                0.82669,                0.89509,                0.98784,                0.95169,                0.85092,                0.48993,                0.42854,                0.64833,                 1.0244,              0.0012129,              0.0012129,              0.0012129
                      5,                 0.4142,                 0.3295,                0.59952,                0.94448,                0.93542,                0.96364,                0.96719,                0.87776,                0.93542,                0.96364,                0.96719,                0.95095,                0.38099,                0.15346,                0.44559,                0.94362,              0.0012005,              0.0012005,              0.0012005
                      6,                0.41418,                0.26446,                0.58824,                0.94914,                0.86732,                0.95941,                0.91123,                0.80969,                0.86732,                0.95941,                0.92188,                0.89421,                 0.4283,                 0.1429,                0.58079,                0.99189,              0.0011881,              0.0011881,              0.0011881
                      7,                0.36975,                0.31176,                0.53923,                0.92905,                0.88308,                0.90195,                0.91209,                0.53464,                0.73797,                0.76628,                0.73399,                 0.3832,                 1.1027,                 4.6127,                0.90729,                 1.6738,              0.0011757,              0.0011757,              0.0011757
                      8,                0.35381,                 0.2681,                0.50569,                0.91877,                0.95048,                0.98889,                0.95398,                0.90061,                0.95048,                0.98889,                0.95398,                0.95029,                0.35165,                0.14362,                0.36073,                0.89621,              0.0011634,              0.0011634,              0.0011634
                      9,                0.34999,                0.28838,                0.47311,                0.92081,                0.90704,                0.98889,                0.96381,                0.79268,                0.90704,                0.98889,                0.96381,                0.96061,                0.61326,                0.16203,                0.53286,                  1.198,               0.001151,               0.001151,               0.001151
                     10,                0.34667,                0.28142,                 0.4914,                0.91266,                0.85545,                 0.9381,                0.96137,                  0.892,                0.85545,                 0.9381,                0.96137,                0.89112,                0.36828,                0.76319,                0.84826,                0.94477,              0.0011386,              0.0011386,              0.0011386
                     11,                0.32429,                0.26949,                0.45397,                0.90439,                 0.9523,                0.98889,                0.96226,                0.93701,                 0.9523,                0.98889,                0.96226,                0.95273,                0.29345,                0.17492,                0.36008,                0.86447,              0.0011263,              0.0011263,              0.0011263
                     12,                0.31002,                0.24727,                0.47842,                0.89728,                0.95295,                0.97388,                0.95768,                 0.9091,                0.95295,                0.97388,                0.95768,                0.95189,                0.27951,                0.14729,                0.35607,                0.84658,              0.0011139,              0.0011139,              0.0011139
                     13,                0.30822,                 0.2257,                0.45712,                0.90584,                0.95355,                0.98889,                   0.96,                0.91889,                0.95355,                0.98889,                   0.96,                0.95531,                0.34308,                0.14414,                0.35967,                0.88923,              0.0011015,              0.0011015,              0.0011015
                     14,                0.30001,                0.24312,                0.42319,                0.89888,                0.89336,                0.96232,                0.94464,                0.86359,                0.89336,                0.96232,                0.94194,                0.91638,                0.40848,                 0.1773,                0.45994,                0.96979,              0.0010891,              0.0010891,              0.0010891
                     15,                0.28053,                0.23003,                 0.4149,                0.89284,                0.91487,                0.98889,                0.95311,                0.90138,                0.91487,                0.98889,                0.95311,                0.94027,                0.36498,                0.14186,                0.48049,                0.92202,              0.0010768,              0.0010768,              0.0010768
                     16,                0.29997,                0.25795,                 0.4445,                0.89907,                0.95222,                0.98889,                0.96764,                0.95275,                0.95222,                0.98889,                0.96764,                0.96333,                0.26758,                0.14138,                0.29189,                0.83891,              0.0010644,              0.0010644,              0.0010644
                     17,                  0.292,                0.25754,                0.40699,                 0.8914,                0.95169,                0.98889,                0.96123,                0.93961,                0.95169,                0.98889,                0.96123,                0.96123,                0.27493,                0.13547,                0.36411,                0.85232,               0.001052,               0.001052,               0.001052
                     18,                0.29374,                0.27873,                0.40336,                 0.8944,                0.90378,                0.98889,                 0.9702,                0.94705,                0.90378,                0.98889,                 0.9702,                0.96448,                0.25476,                0.15542,                0.34585,                0.83988,              0.0010396,              0.0010396,              0.0010396
                     19,                0.27354,                0.27222,                0.38938,                0.88244,                0.88985,                0.96663,                0.97406,                0.82085,                0.88211,                 0.9589,                0.97153,                0.90059,                0.55897,                0.58227,                0.53839,                 1.2909,              0.0010273,              0.0010273,              0.0010273
                     20,                0.27206,                0.23617,                0.40344,                0.88985,                0.94645,                0.98889,                0.95141,                0.93501,                0.94645,                0.98889,                0.95141,                0.94757,                0.22061,                0.13684,                 0.3025,                0.80764,              0.0010149,              0.0010149,              0.0010149
